feature,coefficient,absolute_importance,feature_group
genres__genre_free_to_play,0.9889549230247203,0.9889549230247203,Other
developer_publisher__developer_Supergiant Games,0.9867392849169154,0.9867392849169154,Other
"developer_publisher__developer_Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",0.9789339994564167,0.9789339994564167,Other
"developer_publisher__publisher_indie_games_studio,indie_games_studio",-0.9694234637795369,0.9694234637795369,Other
developer_publisher__developer_Simulators Live,-0.9616226678859395,0.9616226678859395,Other
"developer_publisher__publisher_Simulators Live,Simulators Live",-0.9616226678859395,0.9616226678859395,Other
developer_publisher__developer_Traveller's Tales,0.9606412349792305,0.9606412349792305,Other
developer_publisher__developer_Scott Cawthon,0.9535896907040156,0.9535896907040156,Other
"developer_publisher__publisher_Scott Cawthon,Scott Cawthon",0.9535896907040156,0.9535896907040156,Other
"developer_publisher__publisher_NukGames,NukGames",0.9441391070239336,0.9441391070239336,Other
developer_publisher__developer_NukGames,0.9441391070239336,0.9441391070239336,Other
developer_publisher__developer_Red Dot Games,-0.9431905540646106,0.9431905540646106,Other
developer_publisher__developer_Laush Dmitriy Sergeevich,-0.9339070756020279,0.9339070756020279,Other
genres__genre_racing,-0.933577808260225,0.933577808260225,Other
developer_publisher__developer_Valve,0.9288656436264089,0.9288656436264089,Other
developer_publisher__release_era_2006-2010,-0.915850452244825,0.915850452244825,Other
developer_publisher__developer_EA Los Angeles,0.9104938410234289,0.9104938410234289,Other
developer_publisher__developer_Treyarch,-0.9061305772911584,0.9061305772911584,Other
genres__genre_utilities,0.8963468111776631,0.8963468111776631,Other
"developer_publisher__publisher_Idea Factory International,Idea Factory International",0.8950540357066709,0.8950540357066709,Other
"developer_publisher__publisher_SEGA,SEGA",0.8935846800294562,0.8935846800294562,Other
developer_publisher__developer_Ripknot Systems,-0.8879220854423127,0.8879220854423127,Other
"developer_publisher__publisher_Ripknot Systems,Ripknot Systems",-0.8879220854423127,0.8879220854423127,Other
"developer_publisher__publisher_Matthew Brown,Matthew Brown",0.8829317123888908,0.8829317123888908,Other
developer_publisher__developer_Matthew Brown,0.8829317123888908,0.8829317123888908,Other
developer_publisher__developer_Soldak Entertainment,-0.882401035753367,0.882401035753367,Other
"developer_publisher__publisher_Soldak Entertainment,Soldak Entertainment",-0.882401035753367,0.882401035753367,Other
developer_publisher__developer_Ubisoft Montreal,0.8818230831975244,0.8818230831975244,Other
"developer_publisher__publisher_Double Fine Productions,Double Fine Productions",0.8812431770162727,0.8812431770162727,Other
developer_publisher__developer_Giants Software,-0.8796883033064152,0.8796883033064152,Other
tags__tag_fps,0.8780365137649591,0.8780365137649591,Other
"developer_publisher__publisher_SOEDESCO Publishing,SOEDESCO Publishing",-0.8768308737908409,0.8768308737908409,Other
developer_publisher__developer_The Sims Studio,-0.867270496865159,0.867270496865159,Other
"developer_publisher__publisher_HeR Interactive,HeR Interactive",-0.8653433768465212,0.8653433768465212,Other
"developer_publisher__publisher_Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment",0.864712455270189,0.864712455270189,Other
developer_publisher__developer_NEKO WORKs,0.862912773048069,0.862912773048069,Other
"developer_publisher__publisher_Libredia Entertainment,Libredia Entertainment",-0.8605770684466642,0.8605770684466642,Other
developer_publisher__developer_Hothead Games,-0.8554862410178191,0.8554862410178191,Other
developer_publisher__developer_Microblast Games,0.8549679124673158,0.8549679124673158,Other
"developer_publisher__publisher_Daedalic Entertainment,Daedalic Entertainment",0.8493367361572827,0.8493367361572827,Other
developer_publisher__developer_Zoo Corporation,0.8493026738059982,0.8493026738059982,Other
developer_publisher__developer_Google,0.8456739344026581,0.8456739344026581,Other
"developer_publisher__publisher_Google,Google",0.8456739344026581,0.8456739344026581,Other
"developer_publisher__publisher_Square Enix,Feral Interactive (Mac),Feral Interactive (Linux),Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)",0.8444286642882833,0.8444286642882833,Other
developer_publisher__developer_Konstructors Entertainment,0.8406811479738968,0.8406811479738968,Other
developer_publisher__developer_34BigThings srl,-0.8397199059550238,0.8397199059550238,Other
developer_publisher__developer_Ageod,-0.837350052133448,0.837350052133448,Other
developer_publisher__developer_Square Enix,0.8368121260742791,0.8368121260742791,Other
"developer_publisher__publisher_Digital Tribe,Digital Tribe",-0.8302563969644167,0.8302563969644167,Other
"developer_publisher__developer_CAVE Interactive CO.,LTD.",0.8214587847338682,0.8214587847338682,Other
"developer_publisher__publisher_Factus Games,Factus Games",-0.814301553854864,0.814301553854864,Other
"developer_publisher__developer_Gearbox Software,Aspyr (Mac),Aspyr (Linux)",-0.8138653949610584,0.8138653949610584,Other
developer_publisher__developer_Orange_Juice,-0.8123802924504537,0.8123802924504537,Other
"developer_publisher__developer_Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",0.8008449996166638,0.8008449996166638,Other
"developer_publisher__publisher_2K,Feral Interactive (Mac),Feral Interactive (Linux),2K,Feral Interactive (Mac),Feral Interactive (Linux)",0.8008449996166638,0.8008449996166638,Other
developer_publisher__developer_Sunward Games,-0.8002496998755417,0.8002496998755417,Other
developer_publisher__developer_Hosted Games,-0.7953914330180015,0.7953914330180015,Other
"developer_publisher__publisher_Hosted Games,Hosted Games",-0.7953914330180015,0.7953914330180015,Other
"developer_publisher__publisher_Raw Fury,Raw Fury",0.793615398369625,0.793615398369625,Other
developer_publisher__developer_Bohemia Interactive,0.7928194466420839,0.7928194466420839,Other
"developer_publisher__publisher_CAPCOM Co., Ltd.,CAPCOM Co., Ltd.",0.791998323289654,0.791998323289654,Other
"developer_publisher__publisher_Sekai Project,Sekai Project",0.79159533172016,0.79159533172016,Other
developer_publisher__developer_Holotech Studios,0.7876678961564192,0.7876678961564192,Other
developer_publisher__developer_Team17 Digital Ltd,-0.7848173292365763,0.7848173292365763,Other
"developer_publisher__publisher_Atriagames,Atriagames",-0.7846615666905626,0.7846615666905626,Other
"developer_publisher__publisher_Asmodee Digital,Asmodee Digital",0.7821064949894909,0.7821064949894909,Other
"developer_publisher__publisher_Good Shepherd Entertainment,Good Shepherd Entertainment",0.7759043307795532,0.7759043307795532,Other
developer_publisher__developer_10tons Ltd,-0.7728597546952495,0.7728597546952495,Other
"developer_publisher__publisher_Arcen Games, LLC,Arcen Games, LLC",-0.7721309075431444,0.7721309075431444,Other
"developer_publisher__developer_Arcen Games, LLC",-0.7721309075431444,0.7721309075431444,Other
"developer_publisher__publisher_RewindApp,RewindApp",-0.7700561575239385,0.7700561575239385,Other
"developer_publisher__developer_Elias Viglione,Jussi Kukkonen",-0.7693555861947767,0.7693555861947767,Other
developer_publisher__developer_FreezeNova,-0.7674796136716396,0.7674796136716396,Other
"developer_publisher__publisher_FreezeNova,FreezeNova",-0.7674796136716396,0.7674796136716396,Other
genres__genre_action,-0.7672732574197996,0.7672732574197996,Other
"developer_publisher__developer_CAPCOM Co., Ltd.",0.763536953968901,0.763536953968901,Other
"developer_publisher__publisher_MumboJumbo,MumboJumbo",-0.7629364876916918,0.7629364876916918,Other
"developer_publisher__publisher_Plug In Digital,Plug In Digital",-0.7539510996221759,0.7539510996221759,Other
"developer_publisher__publisher_OtakuMaker SARL,OtakuMaker SARL",-0.7504063255970491,0.7504063255970491,Other
developer_publisher__developer_Brave Giant LTD,-0.7472485990113724,0.7472485990113724,Other
"developer_publisher__publisher_КиКо,КиКо",-0.7465351285010949,0.7465351285010949,Other
"developer_publisher__publisher_Flying Interactive,Flying Interactive",-0.7397671006120282,0.7397671006120282,Other
"developer_publisher__publisher_Kagura Games,Kagura Games",0.739706275127129,0.739706275127129,Other
developer_publisher__developer_NS STUDIO,0.7392796129463927,0.7392796129463927,Other
"developer_publisher__publisher_Codemasters,Codemasters",0.737526775462926,0.737526775462926,Other
developer_publisher__developer_Tamsoft,0.7310901887863485,0.7310901887863485,Other
"developer_publisher__publisher_Ludosity,Ludosity",0.7273828254864396,0.7273828254864396,Other
developer_publisher__developer_MumboJumbo,-0.7265891569142564,0.7265891569142564,Other
tags__tag_adventure,0.7231047767806511,0.7231047767806511,Other
